"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",78.47398,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",81.76048,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",84.87133,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",87.24448,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",90.29232,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",95.59337,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",97.01134,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.35311,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",99.97092,,
"ITA","Italy","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.4833,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","1997","1997","PC","Percentage","0","Units",,,2.429637,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","1998","1998","PC","Percentage","0","Units",,,2.653828,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","1999","1999","PC","Percentage","0","Units",,,2.158164,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.21708,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.87008,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.896493,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.966745,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.244707,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,1.60561,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.28354,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,1.413743,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.714286,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.30263,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.9446036,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.683727,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.531749,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.8070961,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.5231867,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.3864049,,
"ITA","Italy","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.4741163,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",57.62225,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",59.97286,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",61.25878,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",62.19903,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",65.83096,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",67.83128,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",68.0479,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",70.2879,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",71.67982,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",75.21035,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",79.4645,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",81.52935,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",86.74679,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",86.66383,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",87.71929,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",92.22953,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",98.74269,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",100.7822,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",100.8041,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",99.97807,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",98.34167,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","1997","1997","PC","Percentage","0","Units",,,4.079347,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","1998","1998","PC","Percentage","0","Units",,,2.144175,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","1999","1999","PC","Percentage","0","Units",,,1.534873,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2000","2000","PC","Percentage","0","Units",,,5.8392,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2001","2001","PC","Percentage","0","Units",,,3.038577,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2002","2002","PC","Percentage","0","Units",,,0.3193586,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2003","2003","PC","Percentage","0","Units",,,3.291791,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2004","2004","PC","Percentage","0","Units",,,1.980328,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,4.925412,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,5.656331,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.598457,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.399457,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-0.09563785,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.217891,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,5.141671,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.061901,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.065443,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.02175963,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.8194343,,
"ITA","Italy","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-1.636762,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",66.84492,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",69.48529,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",69.38503,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",70.10361,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",70.73864,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",71.84158,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",74.79389,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",77.51782,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",79.9688,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",81.7012,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",81.66221,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",83.08266,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",85.46123,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",90.0791,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",91.72794,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",91.87834,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",94.15594,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",96.53799,,
"ITA","Italy","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",98.82047,,
